movieId,title,genres
1,toy story,Adventure|Animation|Children|Comedy|Fantasy
2,jumanji,Adventure|Children|Fantasy
3,grumpier old men,Comedy|Romance
4,waiting to exhale,Comedy|Drama|Romance
5,father of the bride part ii,Comedy
6,heat,Action|Crime|Thriller
7,sabrina,Comedy|Romance
8,tom and huck,Adventure|Children
9,sudden death,Action
10,goldeneye,Action|Adventure|Thriller
11,"the american president",Comedy|Drama|Romance
12,dracula: dead and loving it,Comedy|Horror
13,balto,Adventure|Animation|Children
14,nixon,Drama
15,cutthroat island,Action|Adventure|Romance
16,casino,Crime|Drama
17,sense and sensibility,Drama|Romance
18,four rooms,Comedy
19,ace ventura: when nature calls,Comedy
20,money train,Action|Comedy|Crime|Drama|Thriller
21,get shorty,Comedy|Crime|Thriller
22,copycat,Crime|Drama|Horror|Mystery|Thriller
23,assassins,Action|Crime|Thriller
24,powder,Drama|Sci-Fi
25,leaving las vegas,Drama|Romance
26,othello,Drama
27,now and then,Children|Drama
28,persuasion,Drama|Romance
29,"the city of lost children",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,shanghai triad,Crime|Drama
31,dangerous minds,Drama
32,twelve monkeys,Mystery|Sci-Fi|Thriller
33,wings of courage,Adventure|Romance|IMAX
34,babe,Children|Drama
35,carrington,Drama|Romance
36,dead man walking,Crime|Drama
39,clueless,Comedy|Romance
40,"the cry beloved country",Drama
41,richard iii,Drama|War
42,dead presidents,Action|Crime|Drama
43,restoration,Drama
44,mortal kombat,Action|Adventure|Fantasy
45,to die for,Comedy|Drama|Thriller
46,how to make an american quilt,Drama|Romance
47,seven,Mystery|Thriller
48,pocahontas,Animation|Children|Drama|Musical|Romance
49,when night is falling,Drama|Romance
50,"the usual suspects",Crime|Mystery|Thriller
52,mighty aphrodite,Comedy|Drama|Romance
53,lamerica,Adventure|Drama
54,"the big green",Children|Comedy
55,georgia,Drama
57,home for the holidays,Drama
58,"the postman",Comedy|Drama|Romance
59,"the confessional",Drama|Mystery
60,"the indian in the cupboard",Adventure|Children|Fantasy
61,eye for an eye,Drama|Thriller
62,mr. holland's opus,Drama
63,don't be a menace to south central while drinking your juice in the hood,Comedy|Crime
